label,value
soillayer,1
smsoil,5.62E-04
smsoln,3.37E-05
soillayer,2
smsoil,3.45E-05
smsoln,2.07E-06
soillayer,3
smsoil,4.88E-05
smsoln,2.93E-06
soillayer,4
smsoil,5.60E-05
smsoln,3.36E-06
soillayer,5
smsoil,5.65E-05
smsoln,3.39E-06
soillayer,6
smsoil,5.79E-05
smsoln,3.47E-06
soillayer,7
smsoil,6.84E-05
smsoln,4.10E-06
soillayer,8
smsoil,9.64E-05
smsoln,5.78E-06
soillayer,9
smsoil,1.48E-04
smsoln,8.89E-06
soillayer,10
smsoil,2.25E-04
smsoln,1.35E-05
soillayer,11
smsoil,3.26E-04
smsoln,1.96E-05
soillayer,12
smsoil,4.46E-04
smsoln,2.67E-05
soillayer,13
smsoil,5.77E-04
smsoln,3.46E-05
soillayer,14
smsoil,7.01E-04
smsoln,4.20E-05
soillayer,15
smsoil,7.93E-04
smsoln,4.76E-05
soillayer,16
smsoil,8.39E-04
smsoln,5.03E-05
soillayer,17
smsoil,8.39E-04
smsoln,5.03E-05
soillayer,18
smsoil,8.04E-04
smsoln,4.82E-05
soillayer,19
smsoil,7.50E-04
smsoln,4.50E-05
soillayer,20
smsoil,6.95E-04
smsoln,4.17E-05
soillayer,21
smsoil,6.52E-04
smsoln,3.91E-05
soillayer,22
smsoil,6.21E-04
smsoln,3.73E-05
soillayer,23
smsoil,5.97E-04
smsoln,3.58E-05
soillayer,24
smsoil,5.75E-04
smsoln,3.45E-05
soillayer,25
smsoil,5.54E-04
smsoln,3.32E-05
soillayer,26
smsoil,5.35E-04
smsoln,3.21E-05
soillayer,27
smsoil,5.20E-04
smsoln,3.12E-05
soillayer,28
smsoil,5.11E-04
smsoln,3.07E-05
soillayer,29
smsoil,5.13E-04
smsoln,3.08E-05
soillayer,30
smsoil,5.25E-04
smsoln,3.15E-05
soillayer,31
smsoil,5.49E-04
smsoln,3.29E-05
soillayer,32
smsoil,5.81E-04
smsoln,3.49E-05
soillayer,33
smsoil,6.19E-04
smsoln,3.71E-05
soillayer,34
smsoil,6.60E-04
smsoln,3.96E-05
soillayer,35
smsoil,7.04E-04
smsoln,4.22E-05
soillayer,36
smsoil,7.50E-04
smsoln,4.50E-05
soillayer,37
smsoil,7.98E-04
smsoln,4.79E-05
soillayer,38
smsoil,8.46E-04
smsoln,5.08E-05
soillayer,39
smsoil,8.93E-04
smsoln,5.36E-05
soillayer,40
smsoil,9.37E-04
smsoln,5.62E-05
soillayer,41
smsoil,9.77E-04
smsoln,5.86E-05
soillayer,42
smsoil,1.01E-03
smsoln,6.06E-05
soillayer,43
smsoil,1.04E-03
smsoln,6.22E-05
soillayer,44
smsoil,1.06E-03
smsoln,6.34E-05
soillayer,45
smsoil,1.08E-03
smsoln,6.46E-05
soillayer,46
smsoil,1.10E-03
smsoln,6.60E-05
soillayer,47
smsoil,1.13E-03
smsoln,6.78E-05
soillayer,48
smsoil,1.17E-03
smsoln,7.03E-05
soillayer,49
smsoil,1.23E-03
smsoln,7.36E-05
soillayer,50
smsoil,1.30E-03
smsoln,7.78E-05
soillayer,51
smsoil,1.38E-03
smsoln,8.27E-05
soillayer,52
smsoil,1.47E-03
smsoln,8.80E-05
soillayer,53
smsoil,1.56E-03
smsoln,9.37E-05
soillayer,54
smsoil,1.65E-03
smsoln,9.92E-05
soillayer,55
smsoil,1.74E-03
smsoln,1.05E-04
soillayer,56
smsoil,1.83E-03
smsoln,1.10E-04
soillayer,57
smsoil,1.90E-03
smsoln,1.14E-04
soillayer,58
smsoil,1.97E-03
smsoln,1.18E-04
soillayer,59
smsoil,2.04E-03
smsoln,1.22E-04
soillayer,60
smsoil,2.10E-03
smsoln,1.26E-04
soillayer,61
smsoil,2.16E-03
smsoln,1.30E-04
soillayer,62
smsoil,2.22E-03
smsoln,1.33E-04
soillayer,63
smsoil,2.28E-03
smsoln,1.37E-04
soillayer,64
smsoil,2.35E-03
smsoln,1.41E-04
soillayer,65
smsoil,2.42E-03
smsoln,1.45E-04
soillayer,66
smsoil,2.49E-03
smsoln,1.49E-04
soillayer,67
smsoil,2.57E-03
smsoln,1.54E-04
soillayer,68
smsoil,2.65E-03
smsoln,1.59E-04
soillayer,69
smsoil,2.73E-03
smsoln,1.64E-04
soillayer,70
smsoil,2.81E-03
smsoln,1.69E-04
soillayer,71
smsoil,2.90E-03
smsoln,1.74E-04
soillayer,72
smsoil,2.99E-03
smsoln,1.79E-04
soillayer,73
smsoil,3.08E-03
smsoln,1.85E-04
soillayer,74
smsoil,3.17E-03
smsoln,1.90E-04
soillayer,75
smsoil,3.26E-03
smsoln,1.96E-04
soillayer,76
smsoil,3.35E-03
smsoln,2.01E-04
soillayer,77
smsoil,3.44E-03
smsoln,2.07E-04
soillayer,78
smsoil,3.54E-03
smsoln,2.12E-04
soillayer,79
smsoil,3.63E-03
smsoln,2.18E-04
soillayer,80
smsoil,3.73E-03
smsoln,2.24E-04
soillayer,81
smsoil,3.83E-03
smsoln,2.30E-04
soillayer,82
smsoil,3.92E-03
smsoln,2.35E-04
soillayer,83
smsoil,4.02E-03
smsoln,2.41E-04
soillayer,84
smsoil,4.12E-03
smsoln,2.47E-04
soillayer,85
smsoil,4.23E-03
smsoln,2.54E-04
soillayer,86
smsoil,4.33E-03
smsoln,2.60E-04
soillayer,87
smsoil,4.44E-03
smsoln,2.66E-04
soillayer,88
smsoil,4.55E-03
smsoln,2.73E-04
soillayer,89
